"Issue Id","Project","Tags","Summary","Reporter","Created","Updated","Resolved","Priority","Type","State","Assignee","Sprints","Story points","Environment","QASE TC # (only for bug)","Description","Votes"
"G31-91","group3.1","Star","Checkout (Submodule 5 Payment Information): The ""Payment is blocked due to suspected fraud"" message is not displayed after inputting Pick up. Stolen card","Natallia Viarenich","19 Dec 2022","19 Dec 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 22H2 (64-bit operating system), Google Chrome Version 108.0.5359.99","No qase tc # (only for bug)","**STR:**

1. Select credit card type ""Master Card""  in the ""Payment Information"" section (checkout step 5) in the ""Select credit card"" dropdown.
2.  Input the Cardholder name ""TEST"" in the ""Cardholder name"" field
3. Input the Card number ""5538300838605560"" in the ""Card number"" field
4.  Input the Expiration date ""12/2025"" in the ""Expiration date"" combo-box
5. Input the Card code ""123"" in the ""Card code"" field
6. Click the ""Continue"" button

**Result:** The ""Payment is blocked due to suspected fraud"" message is not displayed after inputting Pick up. Stolen card

**Expected result:** The ""Payment is blocked due to suspected fraud"" message is  displayed after inputting Pick up. Stolen card


","0"
"G31-89","group3.1","Star","Checkout (Submodule 5 Payment Information): The organization JCB that issued the payment instrument is not available in the ""Select credit card"" dropdown-list in the ""Payment Information"" section","Natallia Viarenich","19 Dec 2022","19 Dec 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 22H2 (64-bit operating system), Google Chrome Version 108.0.5359.99","No qase tc # (only for bug)","**STR:**

1. Select the radiobutton ""Credit card"" in the ""Payment Method"" section (checkout step 4).

2. Click the ""Continue"" button

3. Navigate to the ""Select credit card"" dropdown-list in the ""Payment Information"" section (checkout step 5)

   **Result:** The organization JCB that issued the payment instrument is not available in the ""Select credit card"" dropdown-list in the ""Payment Information"" section

   **Expected result:** The organization JCB that issued the payment instrument is available in the ""Select credit card"" dropdown-list in the ""Payment Information"" section","0"
"G31-83","group3.1","Star","Shopping Cart (Submodule Header):  The popup menu with the quantity and price of the selected products is not displayed after hovering the mouse cursor over the ""Wishlist"" header link","Natallia Viarenich","19 Dec 2022","19 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 22H2 (64-bit operating system), Google Chrome Version 108.0.5359.99","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demowebshop.tricentis.com/>
2. Hover the mouse cursor over the ""Wishlist"" header link 

   **Result:** The popup menu with the quantity and price of the selected products is not displayed.

   **Expected result:** The popup menu with the quantity and price of the selected products is displayed.","0"
"G31-1","group3.1","","Testing Documentation","root","29 Nov 2022","18 Dec 2022",,"Critical","Epic","Open","Unassigned","Unscheduled",,"No environment","No qase tc # (only for bug)",,"0"
"G31-25","group3.1","Star","Add Customer: The ""Please fill all fields"" message is not displayed when the field Background Check is empty after clicking the ""Submit"" button","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Fill in all fields with the exception of the ""Background Check"" field with valid values.

3. Click the ""Submit"" button.

   **Result:** The ""Please fill all fields"" message is not displayed when the ""Background Check"" field is empty after clicking the ""Submit"" button (Customer ID is assigned after clicking the ""Submit"" button).

   **Expected result:** The ""Please fill all fields""message is displayed when the ""Background Check"" field is empty after clicking the ""Submit"" button.","0"
"G31-23","group3.1","Star","Billing Address (Add Customer module): The ""Letters and special characters are not allowed"" error message is not displayed after inputting Latin symbols and special characters in the ""Mobile Number"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""Mobile Number"" field.

3. Input Latin symbols and special characters.

   **Result:** The ""Letters and special characters are not allowed"" error message is not displayed after inputting Latin symbols and special characters in the ""Mobile Number"" field.

   **Expected result:** The ""Letters and special characters are not allowed"" error message  is displayed after inputting Latin symbols and special characters in the ""Mobile Number"" field.","0"
"G31-22","group3.1","Star","Billing Address (Add Customer module): The ""Letters and special characters are not allowed"" error message is not displayed after inputting Cyrillic symbols and special characters in the ""Mobile Number"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""Mobile Number"" field.

3. Input Cyrillic symbols and special characters.

   **Result:** The ""Letters and special characters are not allowed"" error message is not displayed after inputting Cyrillic symbols and special characters in the ""Mobile Number"" field.

   **Expected result:** The ""Letters and special characters are not allowed"" error message is displayed after inputting Cyrillic symbols and special characters in the ""Mobile Number"" field.","0"
"G31-21","group3.1","Star","Billing Address (Add Customer module): The ""Letters are not allowed"" error message is not displayed after inputting Cyrillic symbols in the ""Mobile Number"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""Mobile Number"" field.

3. Input Cyrillic Symbols.

   **Result:** The ""Letters are not allowed"" error message is not displayed after inputting Cyrillic symbols in the ""Mobile Number"" field.

   **Expected result:** The ""Letters are not allowed"" error message is displayed after inputting Cyrillic symbols in the ""Mobile Number"" field.","0"
"G31-20","group3.1","Star","Billing Address (Add Customer module): The ""Letters are not allowed"" error message is not displayed after inputting Latin symbols in the ""Mobile Number"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""Mobile Number"" field.

3. Input Latin Symbols.

   **Result:** The ""Letters are not allowed"" error message is not displayed after inputting Latin symbols in the ""Mobile Number"" field.

   **Expected result:** The ""Letters are not allowed"" error message  is displayed after inputting Latin symbols in the ""Mobile Number"" field.","0"
"G31-16","group3.1","Star","Billing Address (Add Customer module): The ""Cyrillic symbols are not allowed"" error message is not displayed after inputting Latin and Cyrillic symbols in the ""Address"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1\. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2\. Select the ""Address"" field.

3\. Input Cyrillic symbols.

**Result:** The ""Cyrillic symbols are not allowed"" error message is not displayed after inputting Cyrillic symbols in the ""Address"" field.

**Expected result:** The ""Cyrillic symbols are not allowed"" error message  is displayed after inputting Cyrillic symbols in the ""Address"" field.","0"
"G31-14","group3.1","Star","Billing Address (Add Customer module): The ""Cyrillic symbols are not allowed"" error message  is not displayed after inputting Latin and Cyrillic symbols in the ""Last Name"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1\. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2\. Select the ""Last Name"" field.

3\. Input Latin and Cyrillic symbols.

**Result:** The ""Cyrillic symbols are not allowed"" error message is not displayed after inputting Latin and Cyrillic symbols in the ""Last Name"" field.

**Expected result:** The ""Cyrillic symbols are not allowed"" error message is displayed after inputting Latin and Cyrillic symbols in the ""Last Name"" field.","0"
"G31-5","group3.1","Star","Billing Address (Add customer module ):  The ""Numbers, Cyrillic and special characters are not allowed"" error message  is not displayed after inputting Number, Special characters, Cyrillic symbols in the ""Last Name"" field","Natallia Viarenich","5 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""Last Name"" field.

3. Input Number, Special characters, Cyrillic symbols

   **Result:** The ""Numbers, Cyrillic and special characters are not allowed"" error message  is not displayed (The error message ""Special characters are not allowed"" is displayed) in the ""Last Name"" field.

   **Expected result:** The ""Numbers, Cyrillic and special characters are not allowed"" error message is displayed in the ""Last Name"" field.","0"
"G31-13","group3.1","Star","Billing Address (Add Customer module ): The ""Cyrillic symbols are not allowed"" error message  is not displayed after inputting Cyrillic symbols in the ""Last Name"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1\. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2\. Select the ""Last Name"" field.

3\. Input Cyrillic symbols.

**Result:** The ""Cyrillic symbols are not allowed"" error message is not displayed after inputting Cyrillic symbols in the ""Last Name"" field.

**Expected result:** The ""Cyrillic symbols are not allowed"" error message is displayed after inputting Cyrillic symbols in the ""Last Name"" field.","0"
"G31-12","group3.1","Star","Billing Address (Add Customer module): The ""Cyrillic symbols are not allowed"" error message is not displayed after inputting Latin and Cyrillic symbols in the ""First Name"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1\. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2\. Select the ""First Name"" field.

3\. Input Latin and Cyrillic symbols.

**Result:** The ""Cyrillic symbols are not allowed"" error message is not displayed after inputting Latin and Cyrillic symbols in the ""First Name"" field.

**Expected result:** The ""Cyrillic symbols are not allowed"" error message is displayed after inputting Latin and Cyrillic symbols in the ""First Name"" field.","0"
"G31-11","group3.1","Star","Billing Address (Add Customer module): The ""Cyrillic symbols are not allowed"" error message is not displayed after inputting Cyrillic symbols in the ""First Name"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1\. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2\. Select the ""First Name"" field.

3\. Input Cyrillic symbols.

**Result:** The ""Cyrillic symbols are not allowed"" error message is not displayed after inputting Cyrillic symbols in the ""First Name"" field.

**Expected result:** The ""Cyrillic symbols are not allowed"" error message is displayed after inputting Cyrillic symbols in the ""First Name"" field.","0"
"G31-10","group3.1","Star","Billing Address (Add Customer module): The ""Numbers, Cyrillic and special characters are not allowed"" error message is not displayed after inputting Numbers, Cyrillic symbols, Special characters in the ""First Name"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""First Name"" field.

3. Input Numbers, Cyrillic symbols, Special characters.

   **Result:** The ""Numbers, Cyrillic and special characters are not allowed"" error message is not displayed after inputting Numbers, Cyrillic symbols, Special characters in the ""First Name"" field.

   **Expected result:** The ""Numbers, Cyrillic and special characters are not allowed"" error message is displayed after inputting Numbers, Cyrillic symbols, Special characters in the ""First Name"" field.","0"
"G31-24","group3.1","Star","Reset (Add Costumer module) The error messages are not reset after clicking the ""Reset"" button","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Normal","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Put numbers (invalid values) in the ""First Name"" field to display an error message.

3. Click the ""Reset"" button.

   **Result:** The error messages are not reset after clicking the ""Reset"" button.

   **Expected result:** The error messages are reset after clicking the ""Reset"" button.","0"
"G31-19","group3.1","Star","Billing Address (Add Customer module): The mobile number error is not displayed after inputting the invalid mobile number format in the ""Mobile Number"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""Mobile Address"" field.

3. Input invalid mobile number format.

   **Result:** The mobile number error is not displayed (Customer ID is assigned after clicking the ""Submit"" button).

   **Expected result:** The mobile number error is displayed.","0"
"G31-18","group3.1","Star","Billing Address (Add Customer module): A valid mobile number in format +xxxxxxxxxxxx (""+"" and 12 numbers ) is not inputted in the ""Mobile Number"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""Mobile Number"" field.

3. Input a valid phone number in format +xxxxxxxxxxxx (""+"" and 12 numbers ).

   **Result:** The valid mobile number in format +xxxxxxxxxxxx (""+"" and 12 numbers ) is not inputted in the ""Mobile Number"" field (The length of the field is limited to 12 characters)

   **Expected result:** The valid mobile number is inputted.","0"
"G31-17","group3.1","Star","Billing Address (Add Customer module): The address format error is not displayed after inputting Latin Symbol with an invalid address format in the ""Address"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Major","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**

1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

2. Select the ""Address"" field.

3. Input invalid address in Latin.

4. Click the ""Submit"" button.

   **Result:** The address format error is not displayed (Customer ID is assigned after clicking the ""Submit"" button).

   **Expected result:** The address format error is displayed.","0"
"G31-15","group3.1","Star","Billing Address (Add Customer module): The ""Enter your address"" placeholder does not correspond to the name of the ""Address"" field","Natallia Viarenich","6 Dec 2022","7 Dec 2022",,"Minor","Bug","Open","Unassigned","Unscheduled",,"Windows 11 Home Version 21H2 (64-bit operating system), Google Chrome Version 107.0.5304.123","No qase tc # (only for bug)","**STR:**



1. Open the page <https://demo.guru99.com/telecom/addcustomer.php>

   **Result:** The ""Enter your address"" placeholder does not correspond to the name of the ""Address"" field.

   **Expected result:** The placeholder ""Enter your address"" corresponds to the name of the ""Address"" field.","0"
